"Issue Name"                                     , "Issue Type" , "Issue Priority", "URLs", "% of Total", "Description"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "How To Fix"                                                                                                                                                                                                                                                                                                                                                                                                                                               , "Help URL"
"H2: Multiple"                                   , "Warning"    , "Low"           , "51"  , "78.460"    , "Pages which have multiple <h2>s. This is not an issue as HTML standards allow multiple <h2>'s when used in a logical hierarchical heading structure. However, this filter can help you quickly scan to review if they are used appropriately."                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 - h6) for additional headings."                                                                                                                                                                                                                                                                               , ""
"Page Titles: Below 30 Characters"               , "Opportunity", "Medium"        , "2"   , "3.080"     , "Pages which have page titles under the configured limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Consider updating the page title to take advantage of the space left to include additional target keywords or USPs."                                                                                                                                                                                                                                                                                                                                      , ""
"URL: Underscores"                               , "Opportunity", "Low"           , "1"   , "0.470"     , "URLs with underscores, which are not always seen as word separators by search engines."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "Ideally hyphens should be used as word separators, rather than underscores. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented."                                                                                                                                                                                            , ""
"Page Titles: Over 561 Pixels"                   , "Opportunity", "Medium"        , "6"   , "9.230"     , "Pages which have page titles over Google's estimated pixel length limit for titles in search results. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently."                                                                                                                                                                                                                                                                                                                                           , "Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring."                                                                                                                                                                                                                                                                                              , ""
"Images: Over 100 kB"                            , "Opportunity", "Medium"        , "215" , "59.890"    , "Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc."                                                                                , "Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible."                                                                                                                                                                                                                                                            , ""
"Images: Missing Alt Attribute"                  , "Issue"      , "Low"           , "3"   , "0.840"     , "Images that are missing an alt attribute all together. Click the address (URL) of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on, and are missing alt attributes. All images should contain an alt attribute with descriptive text, or blank when it's a decorative image."                                                                                                                                                                                                                                                                                                                                                     , "Include alt attributes with descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers."                                                                                          , ""
"Response Codes: External Client Error (4xx)"    , "Warning"    , "Low"           , "3"   , "0.600"     , "External URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > External > Client Error (4xx) inlinks'."                                                                                                                                                                                                      , "All links on a website should ideally resolve to 200 'OK' URLs. Errors such as 404 broken links should be updated so users are taken to the correct URL, or removed. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent'. If they can be viewed in a browser, then it's often not an issue."                               , ""
"H2: Non-Sequential"                             , "Warning"    , "Low"           , "23"  , "35.380"    , "Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies."                                                                                                                                                                                                                                                                                                                   , "Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>."                                                                                                                                                                  , ""
"Security: Missing X-Frame-Options Header"       , "Warning"    , "Low"           , "56"  , "26.050"    , "URLs missing an X-Frame-Options response header with a 'DENY' or 'SAMEORIGIN' value. This instructs the browser not to render a page within a frame, iframe, embed or object. This helps avoid 'clickjacking' attacks, where your content is displayed on another web page that is controlled by an attacker."                                                                                                                                                                                                                                                                                                                                                                             , "To minimise security issues, the X-Frame-Options response header should be supplied with a 'DENY' or 'SAMEORIGIN' value."                                                                                                                                                                                                                                                                                                                                 , ""
"URL: Parameters"                                , "Warning"    , "Low"           , "15"  , "6.980"     , "URLs that include parameters such as '?' or '&'. This isn't an issue for Google or other search engines to crawl unless at significant scale, but it's recommended to limit the number of parameters in a URL which can be complicated for users, and can be a sign of low value-add URLs."                                                                                                                                                                                                                                                                                                                                                                                                , "Where possible use a static URL structure without parameters for key indexable URLs. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented."                                                                                                                                                                                   , ""
"URL: Contains Space"                            , "Issue"      , "Low"           , "1"   , "0.470"     , "URLs that contain a space. These are considered unsafe and could cause the link to be broken when sharing the URL. Hyphens should be used as word separators instead of spaces."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Ideally hyphens should be used as word separators, rather than spaces. However, changing URLs is a big decision. If URLs are changed, then appropriate 301 redirects must be implemented."                                                                                                                                                                                                                                                                , ""
"Images: Missing Size Attributes"                , "Opportunity", "Low"           , "357" , "99.440"    , "Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS)."                                                                                                                                                                                                                                                                                                                                                                                                        , "Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts."                                                                                                                                                                                                                                               , ""
"H2: Duplicate"                                  , "Opportunity", "Low"           , "30"  , "46.150"    , "Pages which have duplicate <h2>s. It's important to have distinct, unique and useful pages. If every page has the same <h2>, then it can make it more challenging for users and the search engines to understand one page from another."                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Update duplicate <h2>s as necessary, so important pages contain a unique and descriptive <h2> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate."                                                                                                                                                                               , ""
"Security: Missing X-Content-Type-Options Header", "Warning"    , "Low"           , "56"  , "26.050"    , "URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised."                                                                                                                                                                                                                                                                                                                                     , "To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate."                                                                                                                                                           , ""
"Content: Low Content Pages"                     , "Opportunity", "Medium"        , "7"   , "10.770"    , "Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.", "Consider including additional descriptive content to help the user and search engines better understand the page."                                                                                                                                                                                                                                                                                                                                        , ""
"H1: Duplicate"                                  , "Opportunity", "Low"           , "4"   , "6.150"     , "Pages which have duplicate <h1>s. It's important to have distinct, unique and useful main headings. If every page has the same <h1>, then it can make it more challenging for users and the search engines to understand one page from another."                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Update duplicate <h1>s as necessary, so important pages contain a unique and descriptive <h1> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate."                                                                                                                                                                               , ""
"Page Titles: Over 60 Characters"                , "Opportunity", "Medium"        , "4"   , "6.150"     , "Pages which have page titles that exceed the configured limit. Characters over this limit might be truncated in Google's search results and carry less weight in scoring."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring."                                                                                                                                                                                                                                                                                              , ""
"URL: Uppercase"                                 , "Warning"    , "Low"           , "3"   , "1.400"     , "URLs that have uppercase characters within them. URLs are case sensitive, so as best practice generally URLs should be lowercase, to avoid any potential mix ups and duplicate URLs."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Ideally lowercase characters should be used for URLs only. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented."                                                                                                                                                                                                             , ""
"H1: Non-Sequential"                             , "Warning"    , "Low"           , "1"   , "1.540"     , "Pages with an <h1> that is not the first heading on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies."                                                                                                                                                                                                                                                                                                                                         , "Ensure the <h1> is the first heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the first heading level should be an <h1>, and this should be followed by an <h2>."                                                                                                                                                              , ""
"Security: Missing Secure Referrer-Policy Header", "Warning"    , "Low"           , "56"  , "26.050"    , "URLs missing 'no-referrer-when-downgrade', 'strict-origin-when-cross-origin', 'no-referrer' or 'strict-origin' policies in the Referrer-Policy header. When using HTTPS, it's important that the URLs do not leak in non-HTTPS requests. This can expose users to 'man in the middle' attacks, as anyone on the network can view them."                                                                                                                                                                                                                                                                                                                                                    , "Consider setting a referrer policy of strict-origin-when-cross-origin. It retains much of the referrer's usefulness, while mitigating the risk of leaking data cross-origins."                                                                                                                                                                                                                                                                            , ""
"Page Titles: Duplicate"                         , "Opportunity", "Medium"        , "4"   , "6.150"     , "Pages which have duplicate page titles. It's really important to have distinct and unique page titles for every page. If every page has the same page title, then it can make it more challenging for users and the search engines to understand one page from another."                                                                                                                                                                                                                                                                                                                                                                                                                   , "Update duplicate page titles as necessary, so each page contains a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate."                                                                                                                                                                              , ""
"Canonicals: Canonicalised"                      , "Warning"    , "High"          , "14"  , "21.540"    , "Pages that have a canonical to a different URL. The URL is 'canonicalised' to another location. This means the search engines are being instructed to not index the page, and the indexing and linking properties should be consolidated to the URL in the canonical."                                                                                                                                                                                                                                                                                                                                                                                                                     , "These URLs should be reviewed carefully to ensure the indexing and link signals are being consolidated to the correct URL. In a perfect world, a website wouldn't need to canonicalise any URLs as only canonical versions would be linked to internally on a website, but often they are required due to various circumstances outside of control, and to prevent duplicate content. Update internal links to canonical versions of URLs where possible.", ""
"Meta Description: Over 985 Pixels"              , "Opportunity", "Low"           , "1"   , "1.540"     , "Pages which have meta descriptions over Google's estimated pixel length limit for snippets. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently."                                                                                                                                                                                                                                                                                                                                                     , "Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users."                                                                                                                                                                                                                                                                                                                             , ""
"Response Codes: Internal Client Error (4xx)"    , "Issue"      , "High"          , "1"   , "0.200"     , "Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'."                                                                                                                                                                                                      , "All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again."                                                               , ""
